fname,street
68569.png,1
23690.png,1
32444.png,1
22021.png,1
47392.png,0
69540.png,1
5203.png,1
27741.png,0
182_137_59.png,1
182_16_47.png,1
57485.png,1
65761.png,1
72840.png,1
182_95_56.png,1
3515.png,1
12150.png,1
39783.png,1
382_129_41.png,1
67362.png,1
33116.png,1
182_167_78.png,1
8141.png,1
4702.png,1
39280.png,1
382_85_43.png,1
70614.png,1
68028.png,1
37991.png,1
35066.png,0
41025.png,1
30291.png,1
182_51_30.png,1
382_33_80.png,1
182_116_14.png,1
41685.png,0
382_74_118.png,0
61612.png,1
61619.png,1
68668.png,1
382_51_75.png,0
182_17_27.png,0
182_62_114.png,0
65294.png,1
26384.png,1
182_58_134.png,1
7548.png,1
63663.png,1
50803.png,1
3810.png,1
8604.png,1
11805.png,1
11524.png,1
5542.png,1
382_78_95.png,1
382_89_121.png,1
182_118_95.png,1
19688.png,1
182_118_83.png,1
382_14_20.png,1
34294.png,1
39393.png,1
182_110_6.png,0
30986.png,1
182_52_89.png,1
182_12_46.png,1
26895.png,1
16949.png,1
28245.png,1
15984.png,1
382_47_113.png,0
53940.png,1
14431.png,1
19089.png,1
46018.png,1
3727.png,1
11344.png,1
182_67_69.png,1
182_67_28.png,1
13196.png,1
182_76_93.png,1
56425.png,1
66949.png,1
182_62_56.png,1
19613.png,1
59198.png,1
182_43_29.png,0
382_120_106.png,1
60518.png,1
182_106_103.png,1
382_30_124.png,1
2452.png,1
182_118_57.png,1
71502.png,1
31686.png,1
41591.png,1
50423.png,1
42998.png,1
45040.png,1
67855.png,1
66280.png,1
382_50_53.png,1
382_52_98.png,0
52908.png,1
44019.png,1
19944.png,1
11086.png,1
2326.png,1
40050.png,1
61732.png,1
382_80_83.png,1
7528.png,1
382_115_91.png,0
25272.png,1
59649.png,1
22880.png,1
182_135_82.png,1
182_119_11.png,1
58238.png,1
27581.png,1
28834.png,1
382_106_67.png,1
51361.png,1
182_165_108.png,1
42489.png,1
62163.png,1
14008.png,1
382_71_71.png,1
382_38_33.png,1
382_28_103.png,1
182_145_57.png,1
72613.png,1
34686.png,1
55782.png,1
38277.png,1
182_115_76.png,1
44689.png,1
10106.png,1
18780.png,1
382_107_114.png,1
17345.png,1
48791.png,1
18191.png,1
52963.png,1
23847.png,1
182_26_121.png,1
32398.png,1
13348.png,1
382_87_29.png,1
28055.png,1
6192.png,0
46124.png,1
25771.png,1
182_110_97.png,1
65986.png,1
382_106_72.png,1
12726.png,1
65918.png,1
12707.png,1
32523.png,1
6189.png,1
45014.png,1
8978.png,1
382_39_77.png,1
40442.png,1
1619.png,1
27013.png,1
50291.png,1
182_48_98.png,1
62966.png,1
2475.png,1
34765.png,1
60315.png,1
48011.png,1
25051.png,1
62453.png,1
23111.png,1
29822.png,1
509.png,1
15512.png,1
868.png,1
53658.png,1
11257.png,0
44812.png,1
24886.png,1
48693.png,1
382_14_26.png,1
25384.png,0
7360.png,1
58558.png,1
182_47_90.png,1
5688.png,1
27845.png,1
34443.png,1
182_113_10.png,1
47940.png,1
11555.png,1
382_145_93.png,1
25123.png,1
17994.png,1
382_113_83.png,0
32277.png,1
45420.png,1
57943.png,1
48608.png,1
28803.png,1
57583.png,1
72177.png,1
182_120_84.png,1
16045.png,1
1374.png,1
47953.png,1
7878.png,1
14616.png,1
31129.png,1
61250.png,1
6612.png,1
58637.png,1
58237.png,1
65256.png,1
27874.png,1
41038.png,1
2164.png,1
54760.png,1
30488.png,1
182_35_27.png,1
182_25_115.png,0
11761.png,1
20207.png,1
15275.png,1
21457.png,1
9031.png,1
16028.png,1
28937.png,1
13973.png,1
56226.png,0
182_50_81.png,0
61970.png,1
42238.png,1
21508.png,1
45758.png,1
62774.png,1
41435.png,1
54343.png,1
382_10_41.png,0
72860.png,1
12728.png,1
37354.png,1
43731.png,1
19318.png,1
41148.png,0
16832.png,0
12762.png,1
58977.png,1
24982.png,1
15616.png,1
59763.png,1
31617.png,1
68249.png,1
37109.png,1
5070.png,1
37089.png,1
382_89_74.png,0
53430.png,1
3023.png,1
47626.png,1
59544.png,1
54517.png,1
29365.png,1
24171.png,1
14590.png,1
42656.png,1
182_29_88.png,1
56505.png,0
3178.png,1
56320.png,1
65019.png,1
9738.png,1
10767.png,0
382_54_118.png,1
182_137_11.png,0
16874.png,1
53896.png,1
67570.png,1
20064.png,1
8589.png,1
11129.png,1
382_125_61.png,1
24053.png,1
40798.png,1
68440.png,1
63283.png,1
19069.png,0
50175.png,1
182_131_53.png,1
41883.png,1
22089.png,1
382_128_104.png,1
182_174_99.png,1
182_38_97.png,0
25910.png,1
382_19_86.png,1
27968.png,1
68127.png,1
37106.png,1
8184.png,1
382_43_32.png,0
182_45_90.png,0
382_126_66.png,0
68325.png,1
182_92_133.png,1
70295.png,1
182_131_113.png,1
30843.png,1
5288.png,1
71064.png,1
182_155_71.png,1
38126.png,1
260.png,1
23774.png,0
57954.png,1
6436.png,1
49260.png,1
57935.png,1
14410.png,1
67474.png,1
31268.png,1
61838.png,1
182_114_38.png,1
49369.png,1
182_106_97.png,0
65546.png,1
382_77_93.png,0
43404.png,1
382_35_54.png,0
182_94_120.png,1
30721.png,1
36192.png,1
1405.png,1
382_67_49.png,1
48177.png,1
182_56_45.png,1
57892.png,1
182_130_72.png,1
182_62_94.png,1
54001.png,1
11672.png,1
26423.png,1
28460.png,1
61613.png,1
861.png,1
50333.png,1
30500.png,1
2114.png,1
63547.png,1
32924.png,1
52716.png,1
17536.png,1
40239.png,1
16171.png,1
382_72_82.png,1
15384.png,1
18559.png,1
47064.png,1
10428.png,1
6626.png,1
48881.png,1
71261.png,1
59523.png,1
14456.png,1
52621.png,1
32658.png,1
182_30_88.png,1
382_28_33.png,0
50506.png,1
4629.png,1
48687.png,1
182_138_90.png,1
182_123_90.png,1
182_76_112.png,0
14042.png,1
33110.png,1
48741.png,1
182_104_106.png,1
63645.png,1
72874.png,1
382_68_10.png,0
47450.png,1
182_35_35.png,1
16433.png,1
17679.png,1
182_32_55.png,1
182_82_52.png,1
382_72_11.png,0
382_123_62.png,0
49279.png,1
45368.png,1
51815.png,1
382_48_99.png,0
54303.png,1
382_86_103.png,1
72116.png,1
22957.png,1
13399.png,1
68656.png,1
182_154_122.png,1
39021.png,0
42346.png,1
41637.png,1
382_94_46.png,1
4189.png,0
9795.png,1
182_87_77.png,0
46812.png,1
382_109_45.png,1
63352.png,1
64666.png,1
382_30_97.png,1
71803.png,1
43985.png,1
21156.png,1
58984.png,1
11027.png,1
41185.png,1
31875.png,1
40653.png,1
3355.png,1
28277.png,1
38529.png,1
382_109_23.png,0
36604.png,1
182_149_106.png,0
9874.png,1
52636.png,1
382_135_95.png,1
48437.png,0
70360.png,1
22150.png,1
382_9_37.png,0
63022.png,1
71585.png,1
382_30_75.png,1
72351.png,1
46008.png,1
18185.png,1
24030.png,1
34689.png,1
16574.png,1
32564.png,1
55232.png,1
67781.png,1
11398.png,1
55254.png,1
68240.png,1
7476.png,1
72424.png,1
182_124_55.png,0
21486.png,1
66764.png,1
29630.png,1
25600.png,1
382_89_93.png,1
25260.png,1
69833.png,1
43133.png,1
66353.png,1
182_84_20.png,1
64169.png,1
17016.png,1
17696.png,1
382_46_21.png,1
56036.png,1
382_73_65.png,1
382_49_107.png,1
50869.png,1
64622.png,1
182_124_61.png,1
60544.png,1
182_119_20.png,1
182_96_44.png,1
67859.png,1
382_125_92.png,1
382_115_81.png,1
17748.png,1
382_112_80.png,1
25802.png,1
64244.png,1
13447.png,1
40106.png,1
25465.png,1
32288.png,1
382_49_40.png,1
45693.png,1
47186.png,1
6909.png,1
69124.png,1
12613.png,0
382_91_76.png,1
